symbol,price,day_change_pct,avg_entry_return,median_entry_return,best_entry_return,worst_entry_return,pct_profitable_entries,entry_days,roll3m_avg,roll3m_median,roll3m_best,roll3m_worst,roll3m_pos_pct,roll3m_windows,high_52w,low_52w,as_of
AWFIS,276.0,-1.88,-11.18,-9.72,19.66,-31.62,14.3,126,-2.47,-2.59,31.11,-43.85,42.2,83.0,424.0,229.05,2026-08-03
NAHARINDUS,113.2,-1.49,5.74,2.58,34.51,-7.37,56.3,126,15.69,14.42,38.84,-15.47,92.8,83.0,129.0,83.05,2026-08-03
360ONE,1142.9,-1.58,5.94,4.32,23.71,-1.58,95.2,126,1.91,1.25,24.48,-22.48,59.0,83.0,1181.64,900.82,2026-08-03
AWHCL,425.1,-1.72,-10.31,-10.03,13.13,-24.63,6.3,126,-2.83,-6.15,25.22,-16.64,34.9,83.0,605.0,372.5,2026-08-03
NELCAST,121.37,5.44,-4.97,-8.03,38.38,-23.83,30.2,126,19.6,17.56,62.63,-19.3,89.3,84.0,172.26,85.51,2026-08-03
RTNINDIA,31.34,0.87,-3.96,-7.52,26.27,-21.1,23.0,126,7.38,2.48,53.03,-30.44,60.7,84.0,41.34,24.4,2026-08-03
BAJAJHIND,16.75,0.6,-4.68,-4.23,12.19,-17.93,28.6,126,9.08,9.81,27.38,-17.98,75.0,84.0,21.02,14.85,2026-08-03
SOFTTECH,413.0,0.49,20.48,2.72,88.89,-14.18,61.6,125,41.04,40.04,103.36,-13.22,90.2,82.0,489.9,215.0,2026-08-03
PPL,269.2,-0.52,23.36,26.05,64.0,-16.81,89.6,125,15.97,13.64,97.12,-20.55,72.0,82.0,334.4,163.21,2026-08-03
ATUL,6736.5,-0.98,3.62,3.46,13.53,-4.76,78.6,126,4.58,4.93,17.39,-8.43,81.0,84.0,7144.77,5839.21,2026-08-03
KPL,2578.9,1.31,18.69,9.16,63.27,-8.45,70.4,71,64.74,63.78,71.55,58.72,100.0,10.0,2890.3,1561.0,2026-08-03
LGBBROSLTD,1588.4,-0.04,-5.15,-5.66,8.94,-20.89,36.5,126,-10.03,-9.96,9.15,-23.8,10.7,84.0,2048.0,1445.0,2026-08-03
RALLIS,217.01,-0.79,-11.59,-12.29,0.71,-25.58,1.6,126,-5.16,-4.55,14.53,-17.34,14.5,83.0,294.63,212.77,2026-08-03
MUTHOOTFIN,3119.6,3.69,-5.16,-5.31,7.94,-23.11,23.0,126,-7.95,-7.51,4.1,-17.75,3.6,84.0,4114.71,2822.6,2026-08-03
BHARATRAS,1267.1,-0.69,-11.55,-9.54,4.71,-34.79,4.0,125,-9.93,-10.94,12.88,-38.59,25.6,82.0,1995.0,1203.0,2026-08-03
SYSTMTXC,60.1,2.52,-11.88,-10.3,14.15,-31.3,7.9,126,-12.29,-12.8,21.48,-54.64,21.7,83.0,92.73,51.89,2026-08-03
ELCIDIN,111000.0,0.73,-5.5,-5.51,1.37,-17.01,8.5,71,-12.37,-11.88,-10.78,-16.26,0.0,10.0,136968.89,105505.0,2026-08-03
LUPIN,2421.2,-1.05,5.45,5.9,14.53,-3.72,87.3,126,4.04,4.76,11.28,-4.15,79.5,83.0,2523.7,2063.24,2026-08-03
NDRAUTO,808.95,0.73,5.88,3.35,33.08,-8.78,68.3,126,11.92,10.65,35.12,-18.08,91.6,83.0,926.46,602.13,2026-08-03
JGCHEM,503.8,2.47,28.81,24.64,63.02,-0.78,97.6,125,20.18,23.27,40.44,-2.02,97.6,83.0,527.0,304.55,2026-08-03
BAJAJINDEF,232.75,-0.87,-9.67,-7.64,11.33,-28.27,12.0,125,-3.04,1.74,24.25,-31.7,59.8,82.0,333.0,207.25,2026-08-03
INDOAMIN,127.45,-0.72,9.87,7.76,55.2,-11.22,69.6,125,17.4,14.24,74.5,-22.65,81.7,82.0,149.0,81.9,2026-08-03
ROLEXRINGS,136.95,-0.03,0.19,-2.57,23.38,-15.34,33.3,126,11.97,13.16,37.08,-12.19,84.5,84.0,176.0,110.07,2026-08-03
NAM-INDIA,1146.9,-1.81,14.91,11.5,44.63,-5.85,80.2,126,22.32,19.96,48.39,-6.67,97.6,83.0,1233.5,787.7,2026-08-03
JBMA,678.45,0.36,10.34,7.96,39.54,-6.82,80.2,126,14.79,12.4,40.54,-13.9,94.0,83.0,738.5,477.0,2026-08-03
VAIBHAVGBL,266.36,1.05,17.85,17.75,52.85,-1.78,98.4,125,7.61,5.99,31.88,-17.52,66.3,83.0,282.3,173.05,2026-08-03
KWIL,30.91,2.18,8.25,10.77,37.56,-17.18,65.8,114,26.16,28.71,57.29,-10.56,89.1,55.0,39.45,22.24,2026-08-03
SHREECEM,26455.0,-1.38,5.01,5.24,16.72,-3.48,75.4,126,-0.41,-3.07,15.74,-15.61,44.6,83.0,27473.59,22491.54,2026-08-03
ANUP,2154.7,3.07,12.8,9.68,48.64,-8.11,80.0,125,14.44,15.01,55.01,-23.65,82.9,82.0,2398.8,1422.3,2026-08-03
HAPPSTMNDS,380.45,-1.35,3.1,2.1,14.02,-8.3,69.8,126,-5.18,-7.33,9.04,-17.48,28.9,83.0,449.95,327.04,2026-08-03
NCC,140.91,-0.87,-5.93,-5.86,7.61,-17.21,13.5,126,2.18,2.75,20.61,-17.54,62.7,83.0,171.77,130.0,2026-08-03
ACE,1057.2,0.56,16.91,18.12,41.16,-1.89,98.4,126,8.49,7.83,36.72,-13.05,80.7,83.0,1087.5,745.1,2026-08-03
KRYSTAL,600.2,0.01,1.9,0.0,18.35,-7.69,49.6,125,1.54,0.48,18.36,-13.32,52.4,82.0,683.0,504.2,2026-08-03
JUBLFOOD,438.25,-0.35,-3.92,-2.95,6.38,-20.73,42.9,126,-9.82,-9.74,10.12,-24.4,2.4,84.0,573.37,407.64,2026-08-03
URBANCO,129.39,-0.85,3.38,3.99,25.58,-15.41,59.5,126,6.63,8.29,25.43,-14.68,67.9,84.0,156.19,100.7,2026-08-03
BEML,1750.4,-0.34,1.68,-0.34,27.99,-12.37,47.6,126,7.24,7.19,28.72,-19.87,78.6,84.0,2034.4,1353.21,2026-08-03
ARE&M,906.85,2.71,9.68,8.1,35.67,-0.11,99.2,126,4.48,5.35,25.21,-22.3,68.7,83.0,951.3,666.01,2026-08-03
KIRLFER,465.7,-1.79,4.04,3.7,13.25,-5.9,75.0,76,6.65,7.35,10.71,1.85,100.0,14.0,509.73,405.4,2026-08-03
HGS,422.9,-0.62,5.0,2.9,22.69,-6.77,79.2,125,5.91,3.58,22.41,-18.12,83.1,83.0,477.6,342.05,2026-08-03
HERANBA,174.96,-1.73,-9.64,-7.58,11.07,-25.2,8.7,126,-4.65,-5.45,14.63,-24.71,33.7,83.0,244.0,155.38,2026-08-03
JYOTISTRUC,10.78,-1.55,-7.42,-8.26,20.45,-23.16,19.8,126,14.8,14.42,63.24,-21.49,77.1,83.0,14.47,8.85,2026-08-03
BBL,2495.6,-2.98,-3.55,-6.48,22.2,-21.4,31.7,126,9.34,11.43,39.44,-21.1,72.3,83.0,3227.85,2025.25,2026-08-03
SKFINDUS,2671.6,0.15,11.82,12.46,31.54,-7.77,77.6,125,3.41,0.07,38.82,-18.67,50.0,82.0,3041.0,1987.02,2026-08-03
BOSCH-HCIL,1310.5,-0.54,-2.41,-3.04,24.92,-10.61,15.1,126,2.44,1.03,29.84,-21.36,59.0,83.0,1499.0,1021.3,2026-08-03
DHANUKA,1032.7,1.44,-1.72,-2.63,15.17,-12.76,35.2,125,2.6,2.34,17.45,-14.58,58.5,82.0,1245.6,887.89,2026-08-03
BLAL,175.1,-0.95,-4.55,-5.32,12.43,-15.5,15.1,126,0.93,0.62,19.45,-21.87,57.8,83.0,215.0,155.5,2026-08-03
GFLLIMITED,46.83,-0.21,1.96,0.77,24.75,-7.4,56.0,125,0.17,0.17,22.51,-31.45,51.2,82.0,53.0,37.25,2026-08-03
HEROMOTOCO,5386.0,1.15,5.78,7.18,14.44,-5.56,78.6,126,-6.71,-6.57,7.18,-14.99,8.3,84.0,5755.34,4603.78,2026-08-03
NATIONSTD,247.9,-4.98,-68.97,-79.84,-4.98,-82.92,0.0,70,-77.59,-77.81,-72.17,-81.57,0.0,10.0,1519.95,247.9,2026-08-03
AEGISLOG,1280.8,2.52,65.96,80.34,119.0,-8.63,88.1,126,40.35,15.11,135.91,-21.2,81.0,84.0,1434.5,573.05,2026-08-03
INTELLECT,705.5,-2.01,-0.87,-1.45,19.0,-22.04,46.0,126,0.48,3.21,21.48,-32.6,60.2,83.0,923.21,589.52,2026-08-03
TERASOFT,380.05,-0.91,2.46,-0.05,31.82,-15.84,50.0,126,5.02,10.24,38.89,-27.29,55.4,83.0,474.15,285.0,2026-08-03
JKPAPER,378.35,-2.63,6.87,6.76,23.48,-8.73,82.4,125,7.47,7.3,19.62,-6.65,90.2,82.0,427.0,304.85,2026-08-03
POWERINDIA,31250.0,-1.34,9.13,-1.57,76.72,-18.72,46.8,126,43.34,43.67,96.33,-6.86,94.0,83.0,38785.0,17798.0,2026-08-03
MAHSCOOTER,12337.0,-3.42,-2.63,-3.11,11.59,-11.15,23.2,125,-2.42,-2.74,15.08,-17.03,34.1,82.0,14070.5,10848.18,2026-08-03
EXCELINDUS,994.95,0.36,7.2,7.33,23.38,-4.11,96.0,125,2.27,3.19,12.82,-7.45,72.0,82.0,1056.05,800.05,2026-08-03
ICRA,4923.0,3.09,-6.48,-5.99,4.47,-20.31,4.8,125,-5.96,-6.38,5.62,-18.65,17.1,82.0,6218.5,4692.0,2026-08-03
M&M,3398.5,3.5,7.55,8.52,17.16,-6.57,87.3,126,-5.15,-7.7,10.87,-20.58,29.8,84.0,3747.64,2865.9,2026-08-03
BSOFT,302.4,-1.27,-10.43,-11.82,12.74,-34.08,19.0,126,-15.79,-14.59,-2.44,-31.47,0.0,84.0,467.1,266.27,2026-08-03
BLS,238.75,-1.3,-9.05,-9.56,7.67,-20.03,11.9,126,-3.63,-2.85,20.45,-21.03,34.9,83.0,309.0,218.9,2026-08-03
DBCORP,211.02,0.21,1.85,3.22,16.19,-12.06,69.6,125,-6.02,-4.78,4.11,-21.65,15.9,82.0,242.51,180.2,2026-08-03
PRAKASH,123.55,-1.88,-7.97,-9.05,11.13,-19.5,16.7,126,8.92,12.66,30.85,-15.89,72.3,83.0,159.0,110.5,2026-08-03
BIOCON,425.35,-1.33,8.44,8.99,25.23,-3.48,81.0,126,8.9,9.97,26.91,-11.71,74.7,83.0,447.15,337.3,2026-08-03
TRIVENI,221.5,-2.16,-41.8,-42.9,-2.16,-53.58,0.0,126,4.67,8.37,26.69,-46.27,67.9,84.0,490.1,220.05,2026-08-03
VOLTAS,1328.9,-0.32,-1.85,-0.66,9.25,-14.62,49.2,126,-5.48,-6.34,15.17,-20.21,29.8,84.0,1577.54,1183.08,2026-08-03
SUBROS,783.3,-0.41,3.24,1.06,23.31,-9.12,58.7,126,2.19,0.86,34.43,-24.24,56.6,83.0,897.9,622.1,2026-08-03
GSPCROP,586.4,0.64,37.74,37.41,73.54,0.64,100.0,88,17.2,16.47,39.25,-0.44,96.4,28.0,594.0,328.0,2026-08-03
KRISHIVAL,387.15,-2.09,9.08,10.61,24.87,-5.02,61.6,125,16.3,20.38,29.47,-14.12,89.0,82.0,410.0,282.3,2026-08-03
PNGSREVA,432.9,-3.26,10.96,11.39,30.47,-5.46,95.1,102,7.07,7.48,21.16,-8.77,83.3,42.0,478.9,324.25,2026-08-03
BECTORFOOD,206.46,-3.46,7.8,9.36,23.51,-11.55,76.2,126,-7.95,-9.84,9.51,-22.47,25.0,84.0,256.92,165.0,2026-08-03
ASHOKA,121.09,-1.74,-5.95,-5.73,18.56,-26.15,19.8,126,-3.56,-7.72,29.42,-32.65,32.1,84.0,166.96,101.0,2026-08-03
INDORAMA,55.02,3.34,38.92,40.18,82.85,3.34,100.0,126,16.05,25.59,54.73,-29.52,59.0,83.0,56.64,29.0,2026-08-03
ROSSTECH,923.25,-1.26,8.48,-0.77,42.62,-14.62,46.8,126,33.99,37.35,62.4,-10.64,95.2,83.0,1122.0,631.0,2026-08-03
CENTURYPLY,799.5,0.72,6.03,4.52,23.81,-4.31,93.7,126,3.61,3.92,16.97,-12.53,77.4,84.0,859.0,618.5,2026-08-03
NINSYS,823.25,0.22,72.76,57.76,187.25,-9.94,83.2,125,87.75,92.94,162.61,0.06,100.0,82.0,935.0,281.05,2026-08-03
HINDZINC,539.2,0.62,-5.37,-5.97,12.59,-23.23,31.0,126,-1.21,-1.23,19.69,-16.31,48.8,84.0,706.88,475.32,2026-08-03
GPTHEALTH,166.04,0.21,21.91,20.43,45.3,0.13,100.0,125,13.52,12.36,28.79,-9.1,96.3,82.0,168.0,113.97,2026-08-03
NHPC,78.73,0.85,1.29,1.35,9.15,-7.79,61.1,126,2.11,2.43,15.68,-8.32,65.5,84.0,86.83,71.62,2026-08-03
KSL,870.75,-1.14,13.39,9.18,52.44,-9.42,82.5,126,17.91,15.61,52.31,-14.59,91.6,83.0,971.39,567.48,2026-08-03
GARFIBRES,722.8,-0.98,8.83,11.01,22.0,-9.24,77.8,126,7.25,5.86,30.19,-16.08,67.5,83.0,818.65,579.75,2026-08-03
SARDAEN,511.8,-2.25,-3.32,-1.95,6.12,-16.47,31.7,126,3.34,1.6,31.98,-17.26,54.2,83.0,624.0,467.0,2026-08-03
JITFINFRA,344.95,-2.36,8.92,11.24,38.92,-16.39,76.0,125,3.72,6.46,33.33,-28.95,59.8,82.0,433.15,245.35,2026-08-03
TVTODAY,113.68,-1.98,-1.21,-1.35,18.58,-13.35,40.5,126,-0.93,-2.92,28.75,-25.9,42.2,83.0,133.7,93.5,2026-08-03
PVSL,108.6,-1.5,10.45,11.15,27.95,-10.26,90.5,126,-0.61,-0.83,24.22,-20.12,47.0,83.0,125.0,82.41,2026-08-03
PNBHOUSING,1025.1,-2.2,10.29,3.61,37.61,-7.95,59.5,126,19.96,24.98,37.53,-18.94,86.7,83.0,1123.93,723.95,2026-08-03
AGARIND,501.35,-1.07,4.0,4.95,38.27,-31.3,56.8,125,-4.9,-7.93,47.52,-48.48,50.0,82.0,744.95,360.0,2026-08-03
IKIO,200.22,0.5,31.42,30.92,86.55,-8.73,87.3,126,19.12,14.25,66.94,-32.75,82.1,84.0,235.0,103.53,2026-08-03
GOODYEAR,829.3,0.73,6.1,7.81,15.36,-34.89,96.1,76,-5.99,3.26,6.28,-36.29,75.0,12.0,1273.7,711.25,2026-08-03
LTFOODS,410.35,3.34,3.83,5.39,14.02,-5.62,70.6,126,1.59,-1.03,25.67,-12.91,44.0,84.0,471.95,348.71,2026-08-03
TNPL,149.46,-0.61,5.03,3.7,21.97,-5.77,81.6,125,6.95,6.94,20.04,-10.04,87.8,82.0,161.0,121.51,2026-08-03
RSL,142.01,1.05,10.82,9.58,38.68,0.28,100.0,91,9.17,4.86,26.0,-0.23,96.8,31.0,145.8,101.7,2026-08-03
ADANIENT,3009.5,-1.3,23.09,23.2,71.19,-6.31,77.0,126,33.13,32.79,75.2,-16.69,91.7,84.0,3245.0,1752.22,2026-08-03
LUXIND,1253.9,0.71,8.67,0.73,51.82,-28.23,54.0,126,34.3,41.18,92.66,-29.62,79.5,83.0,1823.35,824.05,2026-08-03
HINDPETRO,389.75,0.33,-0.04,0.03,22.12,-15.94,50.8,126,-2.53,-6.21,23.65,-33.38,42.9,84.0,475.75,316.2,2026-08-03
AMNPLST,200.51,-0.38,15.65,15.93,55.64,-3.61,88.8,125,15.75,19.98,46.23,-26.66,70.7,82.0,222.0,127.0,2026-08-03
CUPID,228.94,-2.07,102.97,91.57,201.91,-2.07,98.4,126,73.82,64.11,156.09,0.46,100.0,83.0,234.5,74.35,2026-08-03
CENTUM,3441.8,-3.68,15.57,18.48,52.86,-8.91,68.0,125,26.61,27.57,40.89,14.04,100.0,82.0,3910.32,2216.88,2026-08-03
SYMPHONY,683.5,-1.51,-9.14,-7.64,4.08,-28.12,13.5,126,-11.3,-12.57,5.76,-21.68,4.8,83.0,963.53,651.32,2026-08-03
JASH,492.45,-0.42,16.84,20.5,45.18,-12.03,76.0,125,17.78,17.36,62.24,-10.53,81.7,82.0,572.85,326.61,2026-08-03
CYIENTDLM,670.05,-1.19,71.93,65.02,146.07,-4.02,96.0,126,37.54,45.05,88.95,-30.95,86.9,84.0,734.95,265.2,2026-08-03
CONSOFINVT,298.4,3.31,30.62,31.78,81.05,2.57,100.0,125,14.95,12.97,46.01,-6.16,74.4,82.0,300.0,161.12,2026-08-03
DHAMPURSUG,135.48,0.28,1.13,-3.18,21.41,-14.9,34.1,126,15.4,17.5,38.76,-11.82,91.7,84.0,164.95,109.48,2026-08-03
BMWVENTLTD,56.32,-2.07,-4.27,-4.43,15.72,-14.19,11.9,126,5.59,5.15,22.82,-13.64,75.9,83.0,67.68,48.0,2026-08-03
SUNDARMFIN,4490.9,0.24,-4.67,-2.44,10.95,-19.12,29.4,126,-9.84,-10.49,3.93,-26.49,9.6,83.0,5612.41,3979.02,2026-08-03
HINDCOMPOS,426.15,-0.44,1.29,1.61,22.3,-13.35,60.8,125,4.05,5.45,26.8,-17.72,58.5,82.0,550.0,347.1,2026-08-03
TMCV,436.8,5.27,4.48,4.04,23.27,-12.58,70.6,126,-7.06,-5.59,14.78,-25.59,23.8,84.0,503.32,353.06,2026-08-03
BAJEL,176.8,0.82,1.98,-0.24,29.24,-14.54,47.6,126,14.64,14.05,41.82,-12.6,79.8,84.0,214.77,134.64,2026-08-03
PIDILITIND,1629.9,-0.0,12.36,11.72,28.9,0.0,99.2,126,6.02,1.74,26.05,-14.21,53.0,83.0,1637.0,1250.0,2026-08-03
VBL,442.3,-1.9,-5.79,-5.5,16.11,-18.61,21.4,126,10.66,12.42,34.51,-19.65,73.8,84.0,555.18,379.74,2026-08-03
SRHHYPOLTD,486.5,1.05,1.62,0.0,26.69,-12.14,49.6,125,8.21,9.67,26.32,-17.45,82.9,82.0,563.95,382.4,2026-08-03
PNB,112.71,0.96,3.57,4.49,16.58,-11.48,77.8,126,-6.98,-8.54,9.46,-20.78,28.6,84.0,128.98,95.72,2026-08-03
PGHL,6502.0,-1.72,18.43,24.5,36.06,-6.02,88.0,125,16.77,25.17,39.03,-15.21,76.8,82.0,6975.0,4707.0,2026-08-03
GLENMARK,2190.3,-3.16,0.23,0.22,14.05,-9.41,51.6,126,7.39,4.98,24.65,-9.12,81.9,83.0,2474.0,1842.0,2026-08-03
M&MFIN,392.55,-0.3,23.54,25.45,45.59,-0.3,99.2,126,-5.61,-13.31,29.19,-26.8,32.5,83.0,398.8,266.65,2026-08-03
SUVEN,299.25,-4.5,50.96,41.24,136.28,-16.77,85.7,126,66.62,72.48,113.1,-2.51,97.6,83.0,371.0,124.11,2026-08-03
ORIENTHOT,132.76,-1.64,26.9,32.14,62.66,-8.97,82.5,126,15.94,6.7,72.09,-17.77,56.6,83.0,148.09,79.62,2026-08-03
ENIL,108.56,0.69,-1.03,0.11,9.06,-11.45,51.6,126,0.74,2.38,9.81,-12.16,67.5,83.0,125.02,98.57,2026-08-03
DAVANGERE,3.17,-0.63,-16.45,-14.32,0.0,-31.39,0.0,126,-10.35,-8.47,5.01,-28.71,3.6,83.0,5.05,3.15,2026-08-03
NUVAMA,1793.4,-1.85,25.44,30.1,63.02,-9.43,83.3,126,25.51,27.74,66.77,-21.33,81.9,83.0,2066.0,1086.51,2026-08-03
ADANIGREEN,1383.0,1.79,19.0,6.44,71.4,-13.8,62.7,126,46.37,42.87,89.83,-10.62,97.6,84.0,1631.5,801.4,2026-08-03
VELJAN,1757.3,-0.55,41.53,46.03,79.68,-7.0,87.3,71,74.31,73.28,82.53,69.33,100.0,10.0,1980.0,812.0,2026-08-03
METROBRAND,1029.7,-0.28,0.92,-0.22,14.91,-7.07,44.0,125,1.96,1.56,15.68,-19.36,63.4,82.0,1128.1,883.0,2026-08-03
VMART,764.2,2.17,20.17,19.71,60.36,-4.27,85.6,125,20.51,18.37,64.85,-16.76,89.0,82.0,823.35,457.29,2026-08-03
NIRLON,620.4,0.06,2.02,0.11,13.76,-4.25,84.1,69,11.39,11.27,13.71,8.73,100.0,6.0,657.0,543.0,2026-08-03
SHOPERSTOP,390.1,-0.55,16.11,12.98,35.85,-5.58,90.5,126,6.31,16.04,36.86,-24.64,59.0,83.0,425.0,275.95,2026-08-03
AFSL,201.0,0.0,-0.38,-0.04,0.0,-5.74,0.0,125,-0.12,-0.01,3.44,-5.19,40.2,82.0,220.0,200.0,2026-08-03
DBOL,98.42,-1.96,-7.5,-8.86,7.49,-22.08,16.0,125,13.34,11.86,55.73,-20.21,70.7,82.0,128.92,89.1,2026-08-03
BLIL,70.37,0.56,-2.22,-2.06,0.96,-9.24,22.5,71,-4.06,-4.1,-3.35,-4.72,0.0,10.0,79.5,67.0,2026-08-03
ENDURANCE,2758.3,-1.24,9.93,9.57,25.82,-1.24,97.6,126,6.35,4.04,21.42,-13.7,75.0,84.0,2835.0,2134.01,2026-08-03
GRANULES,833.95,-0.73,21.81,18.56,51.17,-7.48,86.5,126,27.16,29.18,43.19,4.34,100.0,83.0,908.11,536.53,2026-08-03
SWANCORP,306.65,-1.16,-9.24,-5.62,2.22,-28.0,1.6,126,-12.3,-13.17,6.33,-33.58,9.6,83.0,438.9,295.65,2026-08-03
DCMSHRIRAM,1051.9,0.45,-2.93,-2.17,9.53,-18.89,46.0,126,-2.18,-0.3,11.42,-16.57,45.8,83.0,1319.98,941.52,2026-08-03
CHEMFAB,373.55,-1.42,-2.77,-3.89,27.53,-20.66,33.6,125,2.07,3.18,26.92,-19.71,64.6,82.0,518.0,290.35,2026-08-03
TPLPLASTEH,79.41,0.47,17.91,18.38,54.19,-8.89,89.7,126,10.09,9.3,46.05,-12.25,81.9,83.0,90.33,50.01,2026-08-03
BRIGHOTEL,60.04,0.1,-3.17,-2.72,7.89,-12.18,22.4,125,2.47,2.22,15.58,-14.32,58.5,82.0,69.78,54.36,2026-08-03
BAJAJ-AUTO,11432.0,0.83,16.62,16.16,32.36,0.51,100.0,126,8.12,7.46,21.47,-6.33,95.2,83.0,11532.0,8504.32,2026-08-03
CARBORUNIV,1063.8,1.46,13.54,9.03,42.49,-14.12,77.8,126,25.7,24.12,64.04,-3.41,98.8,84.0,1303.79,733.45,2026-08-03
SHARDACROP,820.0,-0.57,-17.09,-14.45,-0.57,-34.71,0.0,125,-3.25,-7.63,45.07,-28.32,29.3,82.0,1297.0,807.55,2026-08-03
PATANJALI,356.35,-0.22,-20.53,-22.8,6.01,-33.55,7.9,126,-13.96,-11.98,-6.51,-28.53,0.0,83.0,538.29,328.2,2026-08-03
DOLLAR,267.5,4.31,-0.78,1.32,21.2,-19.78,57.1,126,-5.98,-5.59,22.1,-29.99,26.5,83.0,350.27,217.93,2026-08-03
IFGLEXPOR,194.77,-0.7,11.16,9.14,60.11,-17.15,83.3,126,13.33,8.76,66.13,-32.48,73.5,83.0,245.17,118.36,2026-08-03
LOTUSDEV,193.24,1.84,38.85,36.06,87.9,1.84,100.0,126,6.61,0.42,48.11,-25.77,54.2,83.0,193.99,102.2,2026-08-03
ELIN,100.6,1.9,-13.46,-14.05,6.33,-37.81,12.7,126,-14.14,-13.98,7.99,-31.98,2.4,84.0,169.5,93.65,2026-08-03
PSB,22.97,-2.96,-5.44,-5.65,12.95,-16.72,11.9,126,-3.66,-5.56,17.86,-20.42,26.5,83.0,28.04,20.18,2026-08-03
MRF,134860.0,0.49,1.84,2.74,10.2,-10.97,73.8,126,-5.37,-4.19,9.02,-16.65,15.7,83.0,152181.36,121787.44,2026-08-03
ADANIENSOL,1645.4,-0.82,32.13,22.59,86.0,-5.52,87.3,126,42.34,43.82,76.67,-5.54,97.6,84.0,1789.0,842.8,2026-08-03
SAKSOFT,169.3,1.5,15.83,17.94,54.85,-17.83,85.7,126,5.08,5.41,88.45,-34.34,56.0,84.0,216.62,107.24,2026-08-03
BOSCHLTD,41550.0,1.18,13.8,13.18,44.55,-1.63,92.0,125,11.22,8.12,38.81,-14.58,81.7,82.0,42985.0,28610.0,2026-08-03
KPITTECH,598.4,1.47,-16.07,-18.57,9.17,-42.49,15.9,126,-14.82,-20.44,19.79,-40.19,28.6,84.0,1107.58,543.0,2026-08-03
MANAPPURAM,368.35,-0.49,23.53,20.64,46.93,-0.49,99.2,126,11.57,14.46,33.82,-16.79,77.1,83.0,381.55,244.76,2026-08-03
TIL,252.38,4.48,23.22,22.76,54.3,-3.85,94.4,126,-3.75,-9.59,37.87,-37.18,35.7,84.0,272.02,161.25,2026-08-03
KALAMANDIR,88.64,-0.15,-14.8,-15.21,2.34,-25.93,4.0,126,-3.9,-3.13,23.06,-30.26,36.1,83.0,123.74,86.2,2026-08-03
EXCELSOFT,77.41,0.61,-5.31,-4.49,16.02,-21.32,27.0,126,4.22,3.7,34.17,-20.6,69.0,84.0,101.0,66.4,2026-08-03
VISHNU,618.1,0.11,10.24,6.12,28.77,-3.49,88.1,126,14.47,16.1,28.96,-9.66,94.0,83.0,670.0,471.2,2026-08-03
THELEELA,494.6,5.66,12.89,14.42,25.61,-1.51,96.0,125,4.61,3.82,25.82,-8.85,56.6,83.0,511.0,385.1,2026-08-03
CASTROLIND,184.82,-0.07,1.32,1.23,6.51,-1.52,84.1,126,1.61,1.63,6.93,-3.83,80.7,83.0,188.95,170.1,2026-08-03
TASTYBITE,9052.5,-2.66,18.9,19.5,40.27,-2.66,96.0,126,11.37,10.31,34.21,-13.15,72.3,83.0,9492.5,6430.0,2026-08-03
KPRMILL,1033.3,-2.56,7.84,10.45,27.71,-15.01,68.3,126,16.37,13.24,42.73,-7.3,86.7,83.0,1331.08,794.35,2026-08-03
LANDMARK,539.65,0.34,31.1,29.98,52.57,0.21,100.0,126,6.3,6.16,34.09,-19.5,62.7,83.0,566.95,339.5,2026-08-03
STARCEMENT,202.53,-0.36,-5.22,-5.15,2.2,-15.1,4.0,126,0.3,0.92,11.54,-13.76,57.8,83.0,242.98,196.53,2026-08-03
SURAJEST,194.85,-0.24,-7.28,-6.39,11.2,-21.23,19.0,126,-3.6,-2.87,15.3,-25.5,38.6,83.0,267.08,171.3,2026-08-03
RICOAUTO,138.44,-1.21,13.37,13.63,37.76,-6.39,92.1,126,7.52,2.29,43.55,-16.34,51.8,83.0,157.0,99.26,2026-08-03
GPTINFRA,119.58,-2.29,4.21,3.27,24.62,-11.79,72.0,125,9.17,7.98,39.01,-9.3,74.4,82.0,150.0,95.41,2026-08-03
SALSTEEL,59.49,-5.0,18.0,6.27,70.8,-5.39,87.2,125,29.17,32.81,64.11,-6.46,90.2,82.0,65.5,33.65,2026-08-03
GILLETTE,7624.0,-1.23,-4.09,-3.15,5.11,-13.37,8.7,126,-2.46,-2.18,6.15,-11.44,31.0,84.0,8887.5,7206.0,2026-08-03
HONDAPOWER,2114.6,-0.24,-2.27,-3.09,14.48,-10.53,30.4,125,3.43,5.62,18.07,-13.78,63.4,82.0,2491.09,1816.6,2026-08-03
SYNGENE,385.9,-3.33,-10.66,-11.24,-0.75,-19.79,0.0,126,-2.69,4.37,13.04,-40.38,60.7,84.0,517.09,375.25,2026-08-03
GCSL,522.3,0.85,36.92,41.37,85.7,-1.66,96.8,125,23.55,17.7,59.91,-2.07,95.1,82.0,538.7,279.62,2026-08-03
GREAVESCOT,238.05,2.69,39.02,42.46,98.99,-8.95,90.5,126,26.35,22.7,82.39,-29.5,73.8,84.0,269.69,119.01,2026-08-03
ICEMAKE,813.95,0.74,4.29,4.04,22.32,-8.13,78.6,126,2.98,4.7,19.61,-10.51,61.4,83.0,920.0,660.3,2026-08-03
ARROWGREEN,725.3,1.48,44.04,35.6,109.75,1.48,100.0,126,28.5,24.83,66.24,5.33,100.0,83.0,730.0,341.95,2026-08-03
